Video_ID	Title	Blurb	Category_A	Category_B	Category_C	Language	Length_of_Video	Marked_Price	Rating	Reviews_Num	Selling_Price	Students_Num	Students_of_Tch_1	Name_of_Tch_1_x	Courses_of_Tch_1	Reviews_of_Tch_1	Rating_of_Tch_1	Url	showup	smile_proportion	beginning	middle	end	Intensity	asymmetry	beauty	quality	video_length	Name_of_Tch_1_y	gender	path	preview	male	description_length	log_description_length
2762	Simple Strategy for Swing Trading the Stock Market	Use my favorite Technical Indicator and the Trading Strategy I've developed for Swing Trading Stocks	Finance & Accounting	Investing & Trading	Swing Trading	English	1.5 hours	39.99	4.4012036	923	14.99	3157	5829	Tom Watson	2	1448	4.379383088	https://www.udemy.com/course/swing-trading-the-stock-market/	0								0.7399004101753235	29.7	Tom Watson	male	/home/xyubl/Downloads/video_401-500/2762.mp4	1	1	15	2.70805020110221
20185	The Complete Forex Trader	A practical application of the retail Forex market. A lock, stock and barrel approach to successful Forex trading	Finance & Accounting	Investing & Trading	Forex	English	6.5 hours	24.99	4.120067	226	14.99	1881	7858	Stephen Beak	6	479	4.031552781	https://www.udemy.com/course/forextrader/	0								0.643111526966095	59.16666666666666	Stephen Beak	male	/home/xyubl/Downloads/video_201-300/20185.mp4	1	1	18	2.8903717578961645
24877	Introductory Financial Accounting	Learn the basics of Accounting including: the accounting cycle, inventory, depreciation, receivables, and more!	Finance & Accounting	Accounting & Bookkeeping	Financial Accounting	English	8.5 hours	79.99	4.4463534	645	79.99	2655	2701	Erik Slayter	2	666	4.53547	https://www.udemy.com/course/introductory-financial-accounting/	0								0.6690414547920227	305.67203333333333	Erik Slayter	male	/home/xyubl/Downloads/video_351-400/24877.mp4	1	1	14	2.6390573296152584
26484	Budget - Save - Win.  Simplify your financial life.	A unique budgeting solution that will help you learn the core essentials around money management.	Finance & Accounting	Finance	Finance Fundamentals	English	1 hour	19.99	4.406563	86	14.99	1573	1573	Aaron P. Coleman	1	86	4.406563	https://www.udemy.com/course/budget-save-win/	1	0.0405405405405405	0.04	0.04	0.0416666666666666	0.2303115389189189	0.5500844521198153	3.022227025675676	0.7546918988227844	31.49813333333333	Aaron P. Coleman	male	/home/xyubl/Downloads/video_401-500/26484.mp4	1	1	15	2.70805020110221
32908	The Complete Introduction To Accounting and Finance	The Original Course on Accounting & Finance! It's easy once you know the basics. Learn introductory accounting & finance	Finance & Accounting	Accounting & Bookkeeping	Finance Fundamentals	English	8 hours	84.99	4.385028	1170	14.99	8617	91678	Chris Benjamin, MBA & CFO	81	5357	4.130291015	https://www.udemy.com/course/finance-and-accounting-for-startups/	1	0.0	0.0	0.0	0.0	0.5069929381818182	0.4596505986501855	3.1976438727272734	0.7014163136482239	119.9	Chris Benjamin, MBA & CFO	male	/home/xyubl/Downloads/video_501-580/32908.mp4	1	1	19	2.9444389791664403
35131	Introduction to Small Business Accounting Training Tutorial	Learn the basics of small business accounting. Includes video lessons, tests and glossary of accounting terms.	Finance & Accounting	Accounting & Bookkeeping	Accounting	English	3 hours	24.99	4.364424	91	14.99	622	288826	TeachUcomp, Inc.	87	22189	4.267810297	https://www.udemy.com/course/introduction-to-small-business-accounting-training-tutorial/	0								0.6752173900604248	77.0	TeachUcomp, Inc.	male	/home/xyubl/Downloads/video_501-580/35131.mp4	1	1	16	2.772588722239781
40039	Comprehensive Forex Mastery Program	Master the Forex market by learning the foundational tools professional traders use every day to make consistent profits	Finance & Accounting	Investing & Trading	Forex	English	14.5 hours	84.99	4.4135823	435	14.99	2405	27943	Jared Passey	2	1629	4.1775246	https://www.udemy.com/course/forex-mastery/	1	0.0036764705882352	0.0109890109890109	0.0	0.0	0.3949279623566179	1.1247498230873512	3.3179214827205894	0.7919861078262329	54.333333333333336	Jared Passey	male	/home/xyubl/Downloads/video_661-740/40039.mp4	1	1	18	2.8903717578961645
41145	Learn Call Options and Put Options - Introduction to Options	If you ever wanted to learn about Options and Options trading, but found it confusing, start with this awesome course	Finance & Accounting	Investing & Trading	Options Trading	English	3.5 hours	29.99	4.6095147	178	14.99	1410	94819	Hari Swaminathan	31	14573	4.420163269	https://www.udemy.com/course/learn-options-trading-introduction-call-put-options/	0	0.0	0.0	0.0	0.0	0.4484137331626516	1.102006250274992	3.3333983003011967	0.7466817498207092	1064.9666666666667	Hari Swaminathan	male	/home/xyubl/Downloads/video_661-740/41145.mp4	1	1	20	2.995732273553991
41961	Options Foundation - Time Decay, Implied Volatility, Greeks	Option prices move due to 3 factors. Price, Implied Volatility and Time decay. Critical course to complete Option theory	Finance & Accounting	Investing & Trading	Options Trading	English	3 hours	39.99	4.0261264	81	14.99	777	94833	Hari Swaminathan	31	14573	4.420163269	https://www.udemy.com/course/learn-options-trading/	0	1.0	1.0	1.0	1.0	0.3153378471540476	0.4208243533134194	3.155319490600517	0.7539024949073792	925.1333333333332	Hari Swaminathan	male	/home/xyubl/Downloads/video_661-740/41961.mp4	1	1	19	2.9444389791664403
42146	The Complete Advanced Accounting and Finance Course	Advanced accounting & finance topics related to startup and early stage companies. Learn accounting and finance in 2021	Finance & Accounting	Accounting & Bookkeeping	Finance Fundamentals	English	5 hours	84.99	4.475725	147	14.99	2181	91678	Chris Benjamin, MBA & CFO	81	5357	4.130291015	https://www.udemy.com/course/advanced-finance-and-accounting-for-startups/	0	0.0	0.0	0.0	0.0	0.205978003047619	0.6963592986353065	3.1411786571428566	0.7627609968185425	164.26666666666668	Chris Benjamin, MBA & CFO	male	/home/xyubl/Downloads/video_661-740/42146.mp4	1	1	18	2.8903717578961645
